ym,kospi,fcf_next,pbear,base_exp,trend,mom3,d_breadth,score_FULL_BASE,final_FULL_BASE,score_TREND_LEVEL,final_TREND_LEVEL,score_TREND_CROSS,final_TREND_CROSS,score_PRICE_MOM,final_PRICE_MOM,score_TREND_PLUS_MOM,final_TREND_PLUS_MOM,score_PRICE_PLUS_THRUST,final_PRICE_PLUS_THRUST
2023-11,0.047327914512986125,0.0562034786091374,0.25306916733661383,0.75,0.010664219656660182,-0.008207263046725144,-0.08257062065774456,0.0,0.75,0.21328439313320363,0.75,0.21328439313320363,0.75,0.0,0.75,0.0,0.75,0.0,0.75
2023-12,-0.0595756152499437,0.0390944743543554,0.12659660868086134,0.75,0.052794103216056154,0.07716209100055904,0.11377630392921928,0.0,0.75,1.0,0.75,1.0,0.75,0.514413940003727,0.75,0.514413940003727,0.75,0.26923975929828087,0.75
2024-01,0.05817572230802637,0.0925213359540974,0.5625039377752804,0.45,-0.01267658822026686,0.09618132590376649,0.17688603531300162,0.0,0.45,0.0,0.45,0.0,0.45,0.6412088393584433,0.45,0.0,0.45,0.0,0.45
2024-02,0.039460849828057754,-0.022426245308646,0.2850720737175663,0.7000000000000001,0.04017952408909992,0.042231881445393915,0.07979134547013206,0.0,0.7000000000000001,0.8035904817819984,0.7000000000000001,0.8035904817819984,0.7000000000000001,0.2815458763026261,0.7000000000000001,0.2815458763026261,0.7000000000000001,0.23209595783271,0.7000000000000001
2024-03,-0.019867920523340188,-0.0055787280497974,0.1428457998370577,0.8500000000000001,0.07271245190602368,0.03440309590993129,0.04356792602662812,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.22935397273287528,0.8500000000000001,0.22935397273287528,0.8500000000000001,0.08596136931283506,0.8500000000000001
2024-04,-0.020631054974127316,-0.0021174518292543,0.07235395500587795,0.8500000000000001,0.0494145378826015,0.07807886934020192,0.10811172554682819,0.0,0.8500000000000001,0.98829075765203,0.8500000000000001,0.98829075765203,0.8500000000000001,0.5205257956013462,0.8500000000000001,0.5205257956013462,0.8500000000000001,0.0,0.8500000000000001
2024-05,0.06117914813209069,0.0422929976312927,0.037555258649153496,0.8500000000000001,0.024344177358783737,-0.0022101786483307295,0.03187525399083091,0.0,0.8500000000000001,0.4868835471756747,0.8500000000000001,0.4868835471756747,0.8500000000000001,0.0,0.8500000000000001,0.0,0.8500000000000001,0.0,0.8500000000000001
2024-06,-0.009696880532075847,-0.0597025219629171,0.01940866258594744,0.8500000000000001,0.0764859229140458,0.018637453071928656,-0.012002914543273346,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.12424968714619104,0.8500000000000001,0.12424968714619104,0.8500000000000001,0.0,0.8500000000000001
2024-07,-0.03478551727212853,-0.0449031852005496,0.018325802633025908,0.8500000000000001,0.05397881881220789,0.02920807155155858,-0.042950068888707504,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.19472047701039052,0.8500000000000001,0.19472047701039052,0.8500000000000001,0.0,0.8500000000000001
2024-08,-0.030303157557248217,-0.0099345685705286,0.009885268051272038,0.8500000000000001,0.008346978310445192,0.014333302528542369,-0.10511611607697102,0.0,0.8500000000000001,0.16693956620890382,0.8500000000000001,0.16693956620890382,0.8500000000000001,0.09555535019028247,0.8500000000000001,0.09555535019028247,0.8500000000000001,0.0,0.8500000000000001
