dt,BM(무손절),HMM(p>=0.2)
2007-02-28,2.412206116978044,1.7377823946384223
2007-03-05,2.3421039318889374,1.6872799345807594
2007-03-06,2.3876815293889027,1.7201145858022648
2007-03-07,2.4013307922188076,1.7299476794498825
2007-03-08,2.42335380788547,1.7458133256867463
2007-03-09,2.422826111458006,1.7454331668127154
2007-03-12,2.4530352776488282,1.767196214669042
2007-03-13,2.4440492723035128,1.7607225879846113
2007-03-14,2.395237976026588,1.7255583411433069
2007-03-15,2.4285277259286056,1.7495406786784242
2007-03-16,2.4301444714398355,1.7507054016538994
2007-03-19,2.456541342573979,1.769722026148626
2007-03-20,2.4578688938225994,1.7706784100876247
2007-03-21,2.455622236670396,1.769059891164881
2007-03-22,2.4652892612634387,1.7760241323331987
2007-03-23,2.463332006128345,1.7746141021157797
2007-03-26,2.4673996314642967,1.777544468491626
2007-03-27,2.473288224983998,1.7817866823205744
2007-03-28,2.4503292752993326,1.765246777923274
2007-03-29,2.4694077864516464,1.7789911675768157
2007-03-30,2.472131032424559,1.7809530268369715
2007-04-02,2.4840104346774696,1.7895110915681058
2007-04-03,2.491192507707954,1.7946851436449738
2007-04-04,2.5246524085446542,1.818790059966639
2007-04-05,2.5223207798023597,1.8171103264850454
2007-04-06,2.525911816317602,1.8196973525234796
2007-04-09,2.5546914238007945,1.8404305290364182
2007-04-10,2.551457725023835,1.8381009334166194
2007-04-11,2.5757271900882017,1.855584948907379
2007-04-12,2.5964735543585,1.870530880073015
2007-04-13,2.5882533320965044,1.8646089327624729
2007-04-16,2.6074170225934084,1.8784146866437124
2007-04-17,2.601664508270553,1.8742705059102325
2007-04-18,2.6117397704541343,1.881528846364956
2007-04-19,2.5761356354332388,1.8558791978626323
2007-04-20,2.609186883170403,1.879689715560196
2007-04-23,2.628367609536225,1.8935077422869753
2007-04-24,2.6494033758236326,1.908662162157936
2007-04-25,2.6304100440159095,1.894979136732092
2007-04-26,2.6433105596314133,1.9042728238513609
2007-04-27,2.6252531618416928,1.8912640565859535
2007-04-30,2.624776573020983,1.8909207162485415
2007-05-02,2.6435999616485226,1.9044813125566857
2007-05-03,2.6547644806703685,1.9125243667817016
2007-05-04,2.668175656844418,1.9221859399294616
2007-05-07,2.696631790572665,1.9426860820459964
2007-05-08,2.6935514146159685,1.9404669420360536
2007-05-09,2.71188117855388,1.9536719251612462
2007-05-10,2.722535244771679,1.961347243026619
2007-05-11,2.7291387215224443,1.9661044673616852
2007-05-14,2.7328999089723687,1.9688140721866667
2007-05-15,2.704988299786005,1.9487062121208545
2007-05-16,2.724100882676155,1.9624751474654754
2007-05-17,2.7495956837756332,1.9808419098219963
2007-05-18,2.743928348797369,1.9767590933162145
2007-05-21,2.7710739671459144,1.99631512433929
2007-05-22,2.7960583154413463,2.014314150336168
2007-05-23,2.8023723901750026,2.01886288596591
2007-05-25,2.7989176406111054,2.0163740426917927
2007-05-28,2.8216382958854154,2.032742276920387
2007-05-29,2.828258808505099,2.037511774100993
2007-05-30,2.829824446409575,2.0386396785398495
2007-05-31,2.8948210646857175,2.0854640266568403
2007-06-01,2.920911497933833,2.104259889600702
2007-06-04,2.957247552054711,2.130436821454683
2007-06-05,2.965076364840588,2.1360767926555106
2007-06-07,2.9835424157298447,2.14937995854502
2007-06-08,2.9397008148235364,2.117795940217767
2007-06-11,2.921456230230215,2.104652321320272
2007-06-12,2.9441257778977707,2.120983737012248
2007-06-13,2.9306975658548033,2.1113098910189487
2007-06-14,3.011011507833335,2.1691690239644994
2007-06-15,3.0162533615976437,2.172945318669488
2007-06-18,3.075173991795986,2.2153924516565953
2007-06-19,3.076824809045053,2.21658172032315
2007-06-20,3.0358766050463397,2.187082140042601
2007-06-21,3.0536616366878695,2.199894691448223
2007-06-22,3.0140748479211137,2.1713758911289034
2007-06-25,2.9915243435814856,2.1551302356868565
2007-06-26,2.9776027146033894,2.1451009261794534
2007-06-27,2.949605926072435,2.1249317018859433
